additional_id,comments,non_compliance,source,source_type,entry_date,alternative_source,link,log_type,targeted_pop_group
2145,"Covid-19 budget included an amendment to the Public Health Act - liars and law-breakers can face up to five years in prison, a ten thousand dollar fine, or both.",Other (add in comments),Fiji MoH,Government,2020-04-03,,http://www.health.gov.fj/statement-by-the-minister-for-health-and-medical-services-hon-dr-ifireimi-waqainabete/,Introduction / extension of measures,No
2146,"The public can now call toll-free helpline 158 for all COVID-19 related queries and concerns, replacing the 4 numbers previously in service.  The helpline is open 24/7 for the duration of the COVID-19 response. Trained staff will be managing calls at the call centre.",Not applicable,Fiji MoH,Government,2020-04-03,,http://www.health.gov.fj/toll-free-helpline-158-for-covid-19-response/,Introduction / extension of measures,No
2147,Fiji will be under a nationwide curfew from 10pm to 5am daily from Mar 30 because Fijians were not taking seriously the advice to restrict movement.,Arrest/Detention,RNZ,Media,2020-03-27,http://www.health.gov.fj/media-release-protocol-for-nation-wide-curfew/,https://www.rnz.co.nz/international/pacific-news/412756/fiji-to-be-under-nationwide-curfew-from-monday,Introduction / extension of measures,No
2148,Fiji Airways will suspend all its domestic flights by 6pm 30 March to protect the outer islands. The airline said it is ready to assist if charter flights are required for the freight of essential supplies to the second largest island Vanua Levu and other remote areas.,Not applicable,RNZ,Media,2020-04-03,,https://www.rnz.co.nz/international/pacific-news/412909/fiji-airways-says-it-will-suspend-domestic-flights,Introduction / extension of measures,Yes
2149,"From 12am, 29 March there will be no passenger carriage or movement on inter island ships throughout Fiji till further notice. Only freight cargo services will continue during this time. There is also a restriction of movement for small craft and yacht.",Not available,Fiji Govt,Government,2020-03-27,,http://www.health.gov.fj/restrictions-on-inter-island-shipping-movements-to-come-into-effect-at-12am-on-sunday-march-29-2020/,Introduction / extension of measures,Yes
2150,Strict new procedures in place at Fiji ports for cargo and trucks,Not applicable,Fiji Govt,Government,2020-04-03,,http://www.health.gov.fj/restrictions-on-inter-island-shipping-movements-to-come-into-effect-at-12am-on-sunday-march-29-2020/,Introduction / extension of measures,Yes
2151,Fiji's Nadi Airport is to close to all passenger travel following the country's fifth case of the Covid-19 being confirmed. The government said three flights bringing Fijian nationals home would be allowed and passengers would be required to quarantine.,Not applicable,RNZ,Media,2020-03-27,,https://www.rnz.co.nz/international/pacific-news/412658/fiji-s-airport-closes-and-authorities-investigate-covid-19-breaches,Introduction / extension of measures,Yes
2152,the government also announced a $US400 million response Budget to address the coronavirus threat.,Not applicable,RNZ,Media,2020-03-27,,https://www.rnz.co.nz/international/pacific-news/412772/covid-19-fiji-govt-unveils-us400m-stimulus-package,Introduction / extension of measures,No
2153,Soldiers had been brought in to help police monitor the restricted zone in Lautoka. 12 people appeared in court on Tuesday for illegally entering and leaving the confined area in Lautoka.,Legal action,RNZ,Media,2020-03-27,,https://www.rnz.co.nz/international/pacific-news/412559/fiji-govt-says-lautoka-still-locked-down-but-not-suva,Introduction / extension of measures,Yes
2154,"The Fiji Police Force is now working with a company to install cameras in areas within restricted zones that cannot be visually covered for 24 hours, says Commissioner of Police Brigadier General Sitiveni Qiliho. He said they were working with the Republic of Fiji Military Forces to ensure that the areas which people had used to try to escape from the restricted zones, were covered.",Arrest/Detention,Fiji Times,Media,2020-03-24,,https://www.fijitimes.com/covid-19-police-to-install-cameras/,Introduction / extension of measures,No
2155,Fiji Airways has suspended all international flights due to the coronavirus crisis. The suspensions will be in place until the end of May. ,Not applicable,RNZ,Media,2020-03-24,,https://www.rnz.co.nz/international/pacific-news/412484/covid-19-pacific-nations-on-heightened-alert-flights-suspended,Introduction / extension of measures,No
2156,"Ban on any gatherings of 20 or more people. Workplaces, banks, supermarkets, open-air markets, pharmacies and other areas where essential services are offered are okay for now, given you keep a safe distance apart.",Not available,RNZ,Media,2020-03-24,,https://www.rnz.co.nz/international/pacific-news/412484/covid-19-pacific-nations-on-heightened-alert-flights-suspended,Introduction / extension of measures,No
2157,"8 fever clinics now open. Eight fever clinics are now operating around the country as part of the COVID-19 response plan. Six clinics are now running in Nasinu, Labasa, Savusavu, and Nabouwalu. Two others have been running in Lautoka since last week. Fever clinics are an important part of our response to the virus, as they give Fijians the ability to seek treatment without going to a hospital. They also protect our hospitals from the spread of the virus.",Not applicable,Fiji MoH,Government,2020-03-24,,http://www.health.gov.fj/media-release-eight-fever-clinics-now-open-2/,Introduction / extension of measures,No
2158,Govt instructions issued for people under home based quarantine,Not available,Fiji MoH,Government,2020-03-24,,http://www.health.gov.fj/wp-content/uploads/2020/03/Home-Based-Quaratine-Instructionsv3-21032020.pdf,Introduction / extension of measures,Yes
2159,Ministry of Social Affairs and Health instructs municipalities to take proactive measures to strengthen healthcare and social welfare services,Not applicable,Ministry of Social Affairs and health,Government,2020-04-20,,https://stm.fi/en/artikkeli/-/asset_publisher/stm-ohjeistaa-kuntia-ottamaan-kayttoon-ennakoivia-toimia-sosiaali-ja-terveydenhuollon-vahvistamiseksi,Introduction / extension of measures,No
2160,General call for solidarity among citizens ,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/paaministeri-marin-auttamalla-ja-tukemalla-toisiamme-jaksamme-vaikeiden-aikojen-ylitse,Introduction / extension of measures,No
2161,The Finnish Government is supporting the development of a coronavirus vaccine with EUR 5 million. The funding will be targeted at the Coalition for Epidemic Preparedness Innovations (CEPI) and the International Vaccine Institute (IVI).,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/suomi-sitoutuu-kansainvaliseen-rokotetutkimukseen-koronavirusrokotteen-kehittamiseksi,Introduction / extension of measures,No
2162,Companies and associations were allowed to postpone their annual meetings,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410853/yhtioille-ja-yhdistyksille-mahdollisuus-myohentaa-vuosikokouksiaan,Introduction / extension of measures,No
2163,The Government has issued new decrees to bring into force special agreements on the transport of dangerous goods during emergency conditions.,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/erillissopimuksella-joustoa-sairaaloissa-tarvittavien-kaasujen-kuljettamiseen-poikkeusolojen-aikana,Introduction / extension of measures,No
2164,Government to support people at home with loss of their income due to Corona and those that have a loss of income due to the mandatory 14 days quarantine upon arrival,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/hallitus-esittaa-koronaepidemian-vuoksi-palkatta-pois-toista-oleville-valiaikaista-tukea,Introduction / extension of measures,Yes
2165,Public desinfection should be made available at all public spaces where hand washing is not possible,Not applicable,Government,Government,2020-04-17,,https://thl.fi/en/web/thlfi-en/-/hand-hygiene-can-be-further-improved-handrubs-should-be-possible-in-all-public-spaces-,Introduction / extension of measures,No
2166,Apppointment of a working group to draft proposals for regeneration measures after the coronavirus crisis to respond to the climate crisis and decline in biodiversit,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/tyoryhma-laatimaan-ehdotuksia-ilmaston-ja-luonnon-kannalta-kestavaksi-elvytykseksi,Introduction / extension of measures,Yes
2167,People at-risk for contracting or having poor health outcomes due to corona are exempted for renewing their driving certificate or car license to avoid unnecessary contact,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/ministeri-harakka-riskiryhmalaisten-autoilu-varmistetaan-myos-poikkeusoloissa,Introduction / extension of measures,Yes
2168,The travel between the larger island and the mainland was reopened ,Not applicable,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-antoi-kumoamisasetuksen-uudenmaan-liikkumisrajoitukset-paattyivat,Phase-out measure,No
2169,"Seasonal workers to be exempted as well from border closure, though decision on case-to-case basis from the Finnish Boarder Guard  ",Refusal to enter the country,Government,Government,2020-04-17,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410837/alkutuotannon-kriittisille-aloille-valmistaudutaan-ottamaan-ulkomailta-kausityovoimaa-yrittajat-vastaavat-tilauslennoista,Phase-out measure,Yes
2170,Extension: of government policies and guidances established on 16th March until 16th May,Not applicable,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallituksen-linjauksia-koronavirustartuntojen-leviamisen-hidastamiseksi-ja-riskiryhmien-suojelemiseksi-jatketaan-13-5-saakka,Introduction / extension of measures,No
2171,"Easier access to unemployment benefits, with abolishments or suspension of certain criteria and timelines",Not applicable,Government,Government,2020-04-17,,https://stm.fi/en/artikkeli/-/asset_publisher/tyottomyysturvaa-tarvitsevien-henkiloiden-taloudellista-asemaa-vahvistetaan,Introduction / extension of measures,No
2172,"The sale of medicines, goods and services used in healthcare services has been restricted.",Not applicable,Ministry of Social Affairs and health,Government,2020-04-20,,https://stm.fi/en/article/-/asset_publisher/stm-n-paatoksilla-varmistetaan-laakevalmisteiden-saatavuutta-ja-jakeluketjun-toimivuutta,Introduction / extension of measures,No
2173,Random sampling antibody tests for studies conducted,Not applicable,Finish Institut for Health and Welfare,Government,2020-04-11,,https://thl.fi/en/web/thlfi-en/-/finnish-institute-for-health-and-welfare-to-investigate-the-spread-of-coronavirus-in-the-population-using-antibody-assays,Introduction / extension of measures,No
2174,Ministry of Social Affairs and Health instructs municipalities to continue rehabilitative work in alternative ways,Not applicable,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/sosiaali-ja-terveysministerio-ohjeistaa-kuntia-jatkamaan-kuntouttavaa-tyotoimintaa-vaihtoehtoisilla-toteutustavoilla,Introduction / extension of measures,No
2175,Entrepreneurs are temporarily entitled to labour market support to deal with the sudden and unforeseen decline in demand due to the coronavirus epidemic.,Not applicable,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/laki-yrittajien-oikeudesta-tyottomyysturvaan-tulee-voimaan-8-4-2020,Introduction / extension of measures,Yes
2176,"People arriving from Norway or Sweden under 14 days quarantine (with exemptions, e.g. health workers)",Not available,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-linjasi-rajaliikenteen-tiukennuksista-ruotsin-ja-norjan-vastaisella-rajalla-ahvenanmaan-sairaanhoito-turvataan,Introduction / extension of measures,No
2177,Extension: of border closure for non-essential reasons to Sweden and Norway,Not available,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-linjasi-rajaliikenteen-tiukennuksista-ruotsin-ja-norjan-vastaisella-rajalla-ahvenanmaan-sairaanhoito-turvataan,Introduction / extension of measures,No
2178,"Derogations of some labour laws for health professionals temporarily until 13 May; including holiday act, working hours and employment contracts act",Not applicable,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/ohje-vuosilomalain-tyoaikalain-ja-tyosopimuslain-saannosten-poikkeuksista-sote-alalla,Introduction / extension of measures,Yes
2179,List of essential reasons for traveling finalised,Not applicable,Government,Government,2020-04-11,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/linjaus-valttamattomien-tyotehtavien-maahantulosta-valmistunut,Introduction / extension of measures,Yes
2180,"All restaurants, cafés and bars must be closed everywhere in Finland",Not available,Ministry of Economic Affairs and Employment,Government,2020-04-05,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/ravintolat-sulkeutuvat-koko-maassa-perjantaina-puolen-yon-aikaan-koronavirusepidemian-vuoksi,Introduction / extension of measures,No
2181, Limitations to public social welfare units and care institutions; special rules to reduce the infection risk implemented,Not applicable,Ministry of Social Affairs and Health,Government,2020-04-05,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/koronavirustartuntoja-ehkaistava-monin-tavoin-sosiaalihuollon-ymparivuorokautisen-hoidon-toimintayksikoissa,Introduction / extension of measures,Yes
2182,Information materials sent to every household,Not applicable,Ministry of Social Affairs and Health,Government,2020-04-05,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/kansalaiskirje-koronaviruksesta-on-lahtenyt-koteihin,Introduction / extension of measures,No
2183,"If necessary, freedom of movement in social welfare units such as residential homes for older people, housing units for people with disabilities and foster care units related to child protection may be restricted.",Not applicable,Ministry of Social Affairs and health,Government,2020-04-20,,https://stm.fi/artikkeli/-/asset_publisher/stm-liikkumisvapautta-sosiaalihuollon-toimintayksikoissa-voidaan-rajoittaa-tarvittaessa,Introduction / extension of measures,Yes
2184,Prime Minister’s Office appoints Operations Centre to support management of COVID-19 situation,Not applicable,Government Communications Department,Government,2020-04-05,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/valtioneuvoston-kanslia-perusti-operaatiokeskuksen-tukemaan-koronavirustilanteen-johtamista-,Introduction / extension of measures,No
2185,Employee's right to unemployment extended and quicker access to benefits established,Not applicable,Ministry of Economic Affairs and Employment,Government,2020-04-05,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/lakimuutos-laajentaa-lomautetun-oikeutta-tyottomyysetuuteen-seka-nopeuttaa-tyottomyysetuuden-hakemista-ja-saamista,Introduction / extension of measures,No
2186,"Traveling to and from the region is forbidden, apart for essential reasons",not available,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410869/hallituksen-linjaukset,Introduction / extension of measures,No
2187,Ski areas that were linked with recent cases are forced to close pre-end-of-season,Not applicable,YLE state media,Media,2020-03-21,,https://yle.fi/uutiset/osasto/news/multiple_coronavirus_cases_linked_to_lapland_ski_resorts_to_close_next_week/11268683,Introduction / extension of measures,Yes
2188,"Controls at international airports increased, with form filled and symptoms checked, possibly leading to being rejected entry or forced quaratine if necessary",Refusal to enter the country,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/ulkomailta-saapuvien-kontrolli-tiukentuu,Introduction / extension of measures,No
2189,Financial support specifically for entrepeneurs/self-employed: The support criteria are the same in all municipalities. The state will provide this support in full by allocating EUR 100 million reserved for the ELY Centres’ business subsidy granting authorisations in the supplementary budget for 2020.,not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/yksinyrittajat-voivat-hakea-tukea-kunnilta-koronavirustilanteessa,Introduction / extension of measures,Yes
2190,Finland joins an EU project on joint procurement of protective equipment,not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/suomi-liittyy-sopimukseen-laaketieteellisten-vastatoimien-yhteishankinnasta,Introduction / extension of measures,No
2191,"The Government is allocating EUR 1 billion for direct business subsidies. Of this amount, EUR 700 million is intended for grants provided by Business Finland and EUR 300 million for grants provided by centres for economic development, transport and the environment.; State-owned specialised financing company Finnvera to guarantee business loans",not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/valtion-rahoitusta-yrityksille-koronavirustilanteessa-vahvistetaan-yritystukiin-miljardi-euroa,Introduction / extension of measures,No
2192,Employers obligated to notify the government of dismissals of ten or more employees,not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/tyonantajalle-velvollisuus-ilmoittaa-vahintaan-kymmenen-tyontekijan-irtisanomisesta-te-toimistolle,Introduction / extension of measures,No
2193,Notice period for lay-offs reduced for long-term employees,Not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/koronaviruksen-vuoksi-lomautusten-ilmoitusaikaa-ja-yhteistoimintaneuvotteluiden-kestoaikaa-lyhennetaan,Introduction / extension of measures,No
2194,Resting periods for drivers of goods have been liften,Not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/ajo-ja-lepoaikoihin-maaraaikainen-poikkeus-koronavirustilanteen-johdosta,Introduction / extension of measures,No
2195,Decree submitted to Parliament on the use of powers concerning the obligation to work under the Emergency Powers Act; people working in both public and private healthcare who have received training in the field and who have reached the age of 18 but not 68 may be required to work.,Not available,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/tyontekijan-tyovelvollisuutta-koskeva-valmiuslain-kayttoonottoasetus-eduskunnalle,Introduction / extension of measures,No
2196,For returnees from abroad (e.g. through repatriation flights) health personell will give advice and health checks done as needed,Not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/terveydenhuollon-ammattilaiset-vastassa-matkailijoita-helsinki-vantaan-lentoasemalla,Introduction / extension of measures,Yes
2197,Advice guidelines for employers to protect their workers established,Not applicable,Government,Government,2020-03-30,,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/stm-ohjeet-tyontekijoiden-terveyden-suojelemiseksi-koronavirustilanteessa,Introduction / extension of measures,Yes
2198,Primary schools regulations are being released slightly; parents can now decide whether they send their kids to school (previously only parents with critical jobs were allowed to do so),Not applicable,YLE state media,Media,2020-03-21,,https://yle.fi/uutiset/osasto/news/finland_revises_ruling_pupils_in_grades_1-3_can_go_back_to_school/11267916,Introduction / extension of measures,Yes
2199,All nationals and residents coming from abroad to self-quarantine for 14 days,Not applicable,IATA travel centre,Other organisations,2020-04-16,,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Introduction / extension of measures,No
2200,State guarantee for Finnair (€600 million) and for shipping companies (€600 million),Not applicable,International Monetary Fund,Other organisations,2020-04-16,https://www.flightglobal.com/airlines/finnish-government-agrees-to-guarantee-600m-loan-to-finnair/137430.article,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Introduction / extension of measures,Yes
2201,"Entry limited to Finish nationals or people residing in Finnland, for essential work, transit traffic; Finnish nationals are not allowed to leave the country, third country nationals are",Not applicable,Border Guard,Government,2020-03-21,https://www.iata.org/contentassets/945c8b683fd54a95834b7f0f9d0556b5/finland-ncov-measures.pdf,https://www.raja.fi/facts/news_from_the_border_guard/1/0/finnish_border_traffic_to_be_restricted_as_of_19_march_2020_79144,Introduction / extension of measures,No
2202,"The premises of schools, educational institutions, universities and universities of applied sciences as well as civic education and other liberal education institutes will be closed down, and contact teaching will be suspended. As an exception, however, pre-primary education organised in schools and contact teaching for grades 1–3 will continue for the children of parents working in sectors critical to the functioning of society",Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,Yes
2203,Implemented the Emergency Powers Act to Parliament per decree; provisionally until April 13th,Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2204,The more critical measure will limit the sale of medical supplies and pharmaceuticals used in the public healthcare system.,Not applicable,YLE state media,Media,2020-03-21,,https://yle.fi/uutiset/osasto/news/govt_rolls_out_order_to_limit_sales_of_pharmaceuticals_and_medical_supplies/11262584,Introduction / extension of measures,No
2205,"Recommended for those who have been abroad, for 14 days",Not applicable,Ministry of Foreign Affairs - UK,Government,2020-03-16,,https://www.gov.uk/foreign-travel-advice/finland/health#coronavirus,Introduction / extension of measures,Yes
2206,"Public gatherings are limited to no more than ten persons, and it is recommend to avoid spending unnecessary time in public places. Per state of emergency declaration",Not available,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2207,All public non-essential services are closed,Not available,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2208,"Visits to housing services for the elderly and other at-risk groups will be prohibited and visits to care institutions, health care units and hospitals (with exeptions)",Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2209,Employers are encouraged to advice their employees to work from home,Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,Yes
2210,"As a general guideline, persons over 70 years of age must refrain from contact with other persons to the extent possible (quarantine-like conditions), with the exception of members of parliament, the state leadership and elected officials in local government.",Not applicable,Government,Government,2020-03-21,https://fi.usembassy.gov/covid-19-information/,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,Yes
2211,"The capacity of healthcare and social welfare services will be increased in the public and private sectors. At the same time, non-urgent activities will be reduced. The capacity of the private sector will be mobilised for public use as necessary. At the same time, statutory deadlines and obligations will be eased. The capacity for coronavirus testing will be increased. The National Institute for Health and Welfare will provide support in this respect.",Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2212,The Emergency Powers Act was implemented,Not applicable,Government,Government,2020-03-21,,https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,Introduction / extension of measures,No
2213,Primary schools closed only parents with critical jobs can continue to send their kids to school,Not applicable,YLE state media,Media,2020-03-21,,https://yle.fi/uutiset/osasto/news/finland_closes_schools_declares_state_of_emergency_over_coronavirus/11260062,Introduction / extension of measures,Yes
2214,Municipal swimming pools and other indoor sports facilities have been closed. Private operators are strongly advised to do the same.,Not applicable,Government,Government,2020-04-20,,https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions,Introduction / extension of measures,Yes
2215,"State and municipal museums, theatres, the Finnish National Opera and Ballet, the Finnish National Gallery, the Finnish National Theatre, cultural venues, libraries, mobile libraries, services for customers and researchers at the National Archives, organisations' meeting rooms, day activities for the elderly, rehabilitative work facilities and workshops will remain closed. Private and third-sector operators and religious communities are strongly advised to do the same.",Not applicable,Government,Government,2020-04-20,,https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions,Introduction / extension of measures,No
2216,Deferral of tax and pension payments for 3 months are expected to provide additional short-run relief of 2 percent of GDP (€4.5 billion).,Not applicable,International Monetary Fund,Other organisations,2020-04-16,https://home.kpmg/xx/en/home/insights/2020/03/jurisdictional-tax-measures-in-response-to-novel-coronavirus-covid-19.html,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Introduction / extension of measures,No
2217,Cancelling public events with more than 500 people until may 31,Not applicable,Ministry of Health - Finland,Government,2020-03-16,,https://thl.fi/en/web/infectious-diseases/what-s-new/coronavirus-covid-19-latest-updates,Introduction / extension of measures,No
2218,To and from Milan and Rome and strong reduction of other connections.,Not applicable,Ministry of Foreign Affairs - Italy,Government,2020-03-16,,http://www.viaggiaresicuri.it/country/FIN,Introduction / extension of measures,Yes
2219,All retail shops to be allowed to reopen,Not applicable,France 24,Media,2020-04-23,,https://www.france24.com/en/20200423-retail-outlets-in-france-could-open-may-11-but-not-bars-and-restaurants,Phase-out measure,No
2220,"Once the national lockdown will be lifted, masks are recommended though not mandatory",Not applicable,France 24,Media,2020-04-23,,https://www.france24.com/en/20200423-covid-19-wearing-face-masks-will-be-recommended-but-not-mandatory-in-france,Introduction / extension of measures,No
2221,Schools to reopen,Not applicable,France 24,Media,2020-04-23,,https://www.france24.com/en/video/20200423-france-heads-back-to-school-on-may-11-amid-fears-lockdown-is-exacerbating-inequality,Phase-out measure,No
2222,"Taskforce for insurance in unlikely events established, such as for pandemics",Not applicable,Ministry of Economics and Finances,Government,2020-04-23,,https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=0596AAE8-FDCC-4BB6-A5FC-E0F8CFA6B411&filename=2132 - Installation d'un groupe de travail sur le développement dune couverture assurantielle des pandémies.pdf,Introduction / extension of measures,Yes
2223,"France has expanded the scope of the export limitations, now including additional medications",Not applicable,France 24,Media,2020-04-23,,https://www.france24.com/en/20200423-france-ignores-eu-calls-to-lift-export-bans-on-covid-19-drugs,Introduction / extension of measures,No
2224,Expansion of benefits for other population groups affected by COVID-19,Not applicable,Government,Government,2020-04-23,,https://www.legifrance.gouv.fr/affichTexte.do%3Bjsessionid%3DE4A845A38BDF6523D79E4AB3AD353C1A.tplgfr38s_3%3FcidTexte%3DJORFTEXT000041814492%26dateTexte%3D%26oldAction%3DrechJO%26categorieLien%3Did%26idJO%3DJORFCONT000041814391&usg=ALkJrhiM5MBOBi8AvMGYtMK-k7qmHcbgzg,Introduction / extension of measures,Yes
2225,Expansion of medical coverage for certain treatments ,Not applicable,Government,Government,2020-04-23,,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=E4A845A38BDF6523D79E4AB3AD353C1A.tplgfr38s_3?cidTexte=JORFTEXT000041814535,Introduction / extension of measures,Yes
2226,Visits to elderly homes will be allowed again under certain restrictions,Not applicable,Euronews,Media,2020-04-23,https://www.france24.com/en/20200423-after-many-lonely-weeks-france-s-elderly-permitted-nursing-home-visits,https://www.euronews.com/2020/04/20/coronavirus-and-the-elderly-what-s-life-inside-a-french-retirement-home-amid-covid-19-pand,Phase-out measure,No
2227,"The waiting period usually applicable before the payment of daily social security benefits (3 days) and the employer supplement (7 days) is waived for vulnerable persons and those with child custody, affecting their income, regardless of the employee's seniority.",Not applicable,Minister of Solidarity and Health,Government,2020-04-18,,https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/personnes-vulnerables-et-salaries-en-arret-pour-garde-d-enfant-un-nouveau,Introduction / extension of measures,Yes
2228,Financial support for zoological parks and circuses,Not applicable,Minister of Economy and Finance,Government,2020-04-18,,https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=9A653670-5AF1-4678-8369-A2E8F00097B6&filename=1015 - COMMUNIQUE DE PRESSE - parcs zoologiques et cirques.pdf,Introduction / extension of measures,Yes
2229,Government pushed for the relief of rent payments for small businesses ,Not applicable,Minister of Economy and Finance,Government,2020-04-18,,https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=4542340E-4407-4F57-B5E2-6EA5568472A3&filename=2129 -  Les principales fédérations de bailleurs et la Caisse des dépôts ont appelé leurs adhérents à annuler trois mois de loyers pour les TPE.pdf,Introduction / extension of measures,Yes
2230,Contact-less payment with cards: limit raised to 50 EUR,Not applicable,Minister of Economy and Finance,Government,2020-04-18,,"https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=4A1C6DD1-4E35-4F9E-AA76-BC2C76417DC5&filename=2127 - Paiement sans contact par carte bancaire, le plafond relevé à 50 euros.pdf",Introduction / extension of measures,No
2231,Tax deadlines in May shifted to 30th June,Not applicable,Minister of Economy and Finance,Government,2020-04-18,,https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=AD726289-72C3-45A1-8F1E-C52132EBD3B1&filename=1013 - Report echeances fiscales pro.pdf,Introduction / extension of measures,No
2232,Government is publishing a list of companies that showed solidarity and are thus to be laudated publicly; companies behaving poorly are being monitored but not published as list,Not applicable,Minister of Economy and Finance,Government,2020-04-18,,https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=E9BA7502-617E-4702-9888-67ED4E9F283F&filename=2123 - CP_comite_de_crise_sur_les_délais_de_paiement.pdf,Introduction / extension of measures,Yes
2233,"As in the private sector, days of RTT (reduction of working time) and annual leave may be imposed on civil servants by telework or ASA (special leave of absence)",Not applicable,Directorate of Legal and Administrative Information (Prime Minister),Government,2020-04-18,,https://www.service-public.fr/particuliers/actualites/A14004,Introduction / extension of measures,Yes
